name,color
DarkOrange1,#FF7F00
PaleVioletRed3,#CD6889
Brown2,#EE3B3B
DarkGoldenrod3,#CD950C
SlateBlue2,#7A67EE
Cyan2,#00EEEE
grey41,#696969
Pink1,#FFB5C5
Gold3,#CDAD00
Turquoise2,#00E5EE
HotPink1,#FF6EB4
Tomato2,#EE5C42
IndianRed4,#8B3A3A
Orchid,#DA70D6
