name,color
grey31,#4F4F4F
grey11,#1C1C1C
DarkSeaGreen2,#B4EEB4
HotPink2,#EE6AA7
Purple2,#912CEE
DarkSeaGreen4,#698B69
DarkOrange4,#8B4500
Chartreuse4,#458B00
HotPink1,#FF6EB4
DarkGrey,#A9A9A9
RoyalBlue1,#4876FF
IndianRed1,#FF6A6A
SkyBlue2,#7EC0EE
